Pais ,Liga ,Temporada ,Fecha,Hora,Local (A),Visitante (A),Goles Local,Goles Visit,Resultado
Mexico,Liga MX,2013/2014,01/09/2013,03:00,Chiapas,Club Tijuana,3,1,H
Mexico,Liga MX,2013/2014,01/09/2013,18:00,Puebla,Atlante,1,0,H
Mexico,Liga MX,2013/2014,01/09/2013,23:00,Guadalajara Chivas,Toluca,0,0,D
Mexico,Liga MX,2013/2014,03/09/2013,02:30,U.N.A.M.- Pumas,Club America,1,4,A
Mexico,Liga MX,2013/2014,07/09/2013,00:00,Queretaro,Puebla,1,0,H
Mexico,Liga MX,2013/2014,07/09/2013,23:00,Club America,Monterrey,1,0,H
Mexico,Liga MX,2013/2014,08/09/2013,01:00,Atlante,Monarcas,2,2,D
Mexico,Liga MX,2013/2014,08/09/2013,01:00,Pachuca,U.N.A.M.- Pumas,0,0,D
Mexico,Liga MX,2013/2014,08/09/2013,01:00,U.A.N.L.- Tigres,Guadalajara Chivas,3,3,D
Mexico,Liga MX,2013/2014,08/09/2013,02:06,Club Leon,Chiapas,0,1,A
Mexico,Liga MX,2013/2014,08/09/2013,03:00,Atlas,Santos Laguna,2,2,D
Mexico,Liga MX,2013/2014,08/09/2013,03:30,Club Tijuana,Veracruz,3,0,H
Mexico,Liga MX,2013/2014,08/09/2013,18:00,Toluca,Cruz Azul,1,2,A
Mexico,Liga MX,2013/2014,14/09/2013,01:30,Queretaro,Atlante,1,0,H
Mexico,Liga MX,2013/2014,14/09/2013,03:30,Santos Laguna,Club America,2,1,H
Mexico,Liga MX,2013/2014,14/09/2013,23:00,Cruz Azul,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2013/2014,14/09/2013,23:00,Veracruz,Club Leon,0,1,A
Mexico,Liga MX,2013/2014,15/09/2013,01:00,Monterrey,Pachuca,1,0,H
Mexico,Liga MX,2013/2014,15/09/2013,03:00,Chiapas,Atlas,3,0,H
Mexico,Liga MX,2013/2014,15/09/2013,18:00,Puebla,Toluca,1,1,D
Mexico,Liga MX,2013/2014,15/09/2013,18:00,U.N.A.M.- Pumas,Monarcas,0,1,A
Mexico,Liga MX,2013/2014,15/09/2013,23:00,Guadalajara Chivas,Club Tijuana,2,2,D
Mexico,Liga MX,2013/2014,21/09/2013,01:30,Monarcas,Monterrey,1,3,A
Mexico,Liga MX,2013/2014,21/09/2013,03:30,Club Tijuana,Cruz Azul,0,0,D
Mexico,Liga MX,2013/2014,21/09/2013,23:00,Club America,Chiapas,3,1,H
Mexico,Liga MX,2013/2014,22/09/2013,01:00,Atlante,U.N.A.M.- Pumas,1,0,H
Mexico,Liga MX,2013/2014,22/09/2013,01:00,Pachuca,Santos Laguna,1,1,D
Mexico,Liga MX,2013/2014,22/09/2013,01:00,U.A.N.L.- Tigres,Puebla,0,0,D
